,Driver_Name,Car,Manufacturer,Start_Pos,Lowest_Pos,Highest_Pos,Ending_Pos,Pos_Change,ARP,Fastest_Lap,P50_lap,P95_lap,Highest_speed,P50_speed,P95_speed
11,enny Hamlin,"0     24
1     45
2     84
3     19
4     42
5     48
6     12
7      2
8     40
9     17
10    71
11    43
12    99
13    10
14     9
15    54
16    35
17    47
18     7
19     5
20    41
21    01
22     3
23    11
24    51
25     6
26    34
27     4
28    23
29    77
30    20
31    60
32    88
33     8
34    22
35    38
36    21
37    56
38    91
39     1
40    16
Name: Number, dtype: object",Tyt,8,38,1,24,-16,19.0743,45.976,47.308,50.8772,195.754,190.2125,194.0106
12,Jimmie Johnson,"0     24
1     45
2     84
3     19
4     42
5     48
6     12
7      2
8     40
9     17
10    71
11    43
12    99
13    10
14     9
15    54
16    35
17    47
18     7
19     5
20    41
21    01
22     3
23    11
24    51
25     6
26    34
27     4
28    23
29    77
30    20
31    60
32    88
33     8
34    22
35    38
36    21
37    56
38    91
39     1
40    16
Name: Number, dtype: object",Chv,40,40,3,3,37,27.7228,46.095,47.5885,51.2906,195.249,189.056,194.2192
13,Cole Custer,"0     24
1     45
2     84
3     19
4     42
5     48
6     12
7      2
8     40
9     17
10    71
11    43
12    99
13    10
14     9
15    54
16    35
17    47
18     7
19     5
20    41
21    01
22     3
23    11
24    51
25     6
26    34
27     4
28    23
29    77
30    20
31    60
32    88
33     8
34    22
35    38
36    21
37    56
38    91
39     1
40    16
Name: Number, dtype: object",Chv,30,36,3,21,9,21.3366,45.927,47.438,50.549,195.963,189.689,194.5295
14,Ty Gibb,"0     24
1     45
2     84
3     19
4     42
5     48
6     12
7      2
8     40
9     17
10    71
11    43
12    99
13    10
14     9
15    54
16    35
17    47
18     7
19     5
20    41
21    01
22     3
23    11
24    51
25     6
26    34
27     4
28    23
29    77
30    20
31    60
32    88
33     8
34    22
35    38
36    21
37    56
38    91
39     1
40    16
Name: Number, dtype: object",Chv,23,32,5,16,7,20.5347,45.978,47.376,51.2995,195.746,189.849,194.2854
15,Austin Dillon,"0     24
1     45
2     84
3     19
4     42
5     48
6     12
7      2
8     40
9     17
10    71
11    43
12    99
13    10
14     9
15    54
16    35
17    47
18     7
19     5
20    41
21    01
22     3
23    11
24    51
25     6
26    34
27     4
28    23
29    77
30    20
31    60
32    88
33     8
34    22
35    38
36    21
37    56
38    91
39     1
40    16
Name: Number, dtype: object",Tyt,15,33,2,23,-8,14.2525,45.525,47.379,51.1056,197.694,189.889,194.0135
16,Noah Gragson,"0     24
1     45
2     84
3     19
4     42
5     48
6     12
7      2
8     40
9     17
10    71
11    43
12    99
13    10
14     9
15    54
16    35
17    47
18     7
19     5
20    41
21    01
22     3
23    11
24    51
25     6
26    34
27     4
28    23
29    77
30    20
31    60
32    88
33     8
34    22
35    38
36    21
37    56
38    91
39     1
40    16
Name: Number, dtype: object",Tyt,32,40,1,28,4,23.0553,45.253,47.4655,50.7466,198.882,189.5195,194.6875
17,Kyle Larson,"0     24
1     45
2     84
3     19
4     42
5     48
6     12
7      2
8     40
9     17
10    71
11    43
12    99
13    10
14     9
15    54
16    35
17    47
18     7
19     5
20    41
21    01
22     3
23    11
24    51
25     6
26    34
27     4
28    23
29    77
30    20
31    60
32    88
33     8
34    22
35    38
36    21
37    56
38    91
39     1
40    16
Name: Number, dtype: object",Chv,22,33,4,20,2,17.5347,46.044,47.339,51.821,195.465,190.112,194.2868
18,Shane Van Gisbergen,"0     24
1     45
2     84
3     19
4     42
5     48
6     12
7      2
8     40
9     17
10    71
11    43
12    99
13    10
14     9
15    54
16    35
17    47
18     7
19     5
20    41
21    01
22     3
23    11
24    51
25     6
26    34
27     4
28    23
29    77
30    20
31    60
32    88
33     8
34    22
35    38
36    21
37    56
38    91
39     1
40    16
Name: Number, dtype: object",Chv,26,36,3,33,-7,28.9021,46.182,51.248,55.1518,194.881,175.128,193.0572
19,Zane Smith,"0     24
1     45
2     84
3     19
4     42
5     48
6     12
7      2
8     40
9     17
10    71
11    43
12    99
13    10
14     9
15    54
16    35
17    47
18     7
19     5
20    41
21    01
22     3
23    11
24    51
25     6
26    34
27     4
28    23
29    77
30    20
31    60
32    88
33     8
34    22
35    38
36    21
37    56
38    91
39     1
40    16
Name: Number, dtype: object",Chv,37,40,2,36,1,30.3028,46.145,47.769,51.3512,195.037,188.407,193.7416
20,Brad Keselowski,"0     24
1     45
2     84
3     19
4     42
5     48
6     12
7      2
8     40
9     17
10    71
11    43
12    99
13    10
14     9
15    54
16    35
17    47
18     7
19     5
20    41
21    01
22     3
23    11
24    51
25     6
26    34
27     4
28    23
29    77
30    20
31    60
32    88
33     8
34    22
35    38
36    21
37    56
38    91
39     1
40    16
Name: Number, dtype: object",Frd,34,41,2,26,8,20.995,45.249,47.3545,51.0278,198.899,190.056,194.2658
21,John Hunter Nemechek,"0     24
1     45
2     84
3     19
4     42
5     48
6     12
7      2
8     40
9     17
10    71
11    43
12    99
13    10
14     9
15    54
16    35
17    47
18     7
19     5
20    41
21    01
22     3
23    11
24    51
25     6
26    34
27     4
28    23
29    77
30    20
31    60
32    88
33     8
34    22
35    38
36    21
37    56
38    91
39     1
40    16
Name: Number, dtype: object",Frd,18,38,3,5,13,20.2376,46.061,47.474,50.9029,195.393,189.577,193.907
22,Helio Castroneve,"0     24
1     45
2     84
3     19
4     42
5     48
6     12
7      2
8     40
9     17
10    71
11    43
12    99
13    10
14     9
15    54
16    35
17    47
18     7
19     5
20    41
21    01
22     3
23    11
24    51
25     6
26    34
27     4
28    23
29    77
30    20
31    60
32    88
33     8
34    22
35    38
36    21
37    56
38    91
39     1
40    16
Name: Number, dtype: object",Chv,41,41,14,21,20,29.7324,46.212,47.391,49.924,194.755,189.909,193.846
