,Driver_Name,Car,Manufacturer,Start_Pos,Lowest_Pos,Highest_Pos,Ending_Pos,Pos_Change,ARP,Fastest_Lap,P50_lap,P95_lap,Highest_speed,P50_speed,P95_speed
0,AJ Allmendinger,"0     24
1     45
2     84
3     19
4     42
5     48
6     12
7      2
8     40
9     17
10    71
11    43
12    99
13    10
14     9
15    54
16    35
17    47
18     7
19     5
20    41
21    01
22     3
23    11
24    51
25     6
26    34
27     4
28    23
29    77
30    20
31    60
32    88
33     8
34    22
35    38
36    21
37    56
38    91
39     1
40    16
Name: Number, dtype: object",Chv,13,39,6,39,-26,13.3488,47.055,47.583,51.0239,191.266,189.143,190.8535
1,Justin Haley,"0     24
1     45
2     84
3     19
4     42
5     48
6     12
7      2
8     40
9     17
10    71
11    43
12    99
13    10
14     9
15    54
16    35
17    47
18     7
19     5
20    41
21    01
22     3
23    11
24    51
25     6
26    34
27     4
28    23
29    77
30    20
31    60
32    88
33     8
34    22
35    38
36    21
37    56
38    91
39     1
40    16
Name: Number, dtype: object",Tyt,35,41,3,19,16,30.9158,46.073,47.587,50.6016,195.342,189.016,194.263
2,Erik Jone,"0     24
1     45
2     84
3     19
4     42
5     48
6     12
7      2
8     40
9     17
10    71
11    43
12    99
13    10
14     9
15    54
16    35
17    47
18     7
19     5
20    41
21    01
22     3
23    11
24    51
25     6
26    34
27     4
28    23
29    77
30    20
31    60
32    88
33     8
34    22
35    38
36    21
37    56
38    91
39     1
40    16
Name: Number, dtype: object",Tyt,4,32,4,13,-9,16.4901,46.053,47.376,51.7474,195.427,189.913,194.3664
3,Corey LaJoie,"0     24
1     45
2     84
3     19
4     42
5     48
6     12
7      2
8     40
9     17
10    71
11    43
12    99
13    10
14     9
15    54
16    35
17    47
18     7
19     5
20    41
21    01
22     3
23    11
24    51
25     6
26    34
27     4
28    23
29    77
30    20
31    60
32    88
33     8
34    22
35    38
36    21
37    56
38    91
39     1
40    16
Name: Number, dtype: object",Tyt,12,34,1,22,-10,16.505,45.842,47.376,51.2482,196.327,189.958,194.156
4,Ty Dillon,"0     24
1     45
2     84
3     19
4     42
5     48
6     12
7      2
8     40
9     17
10    71
11    43
12    99
13    10
14     9
15    54
16    35
17    47
18     7
19     5
20    41
21    01
22     3
23    11
24    51
25     6
26    34
27     4
28    23
29    77
30    20
31    60
32    88
33     8
34    22
35    38
36    21
37    56
38    91
39     1
40    16
Name: Number, dtype: object",Tyt,7,38,1,14,-7,22.0941,46.443,47.691,51.9188,193.786,188.652,192.697
5,Chris Buescher,"0     24
1     45
2     84
3     19
4     42
5     48
6     12
7      2
8     40
9     17
10    71
11    43
12    99
13    10
14     9
15    54
16    35
17    47
18     7
19     5
20    41
21    01
22     3
23    11
24    51
25     6
26    34
27     4
28    23
29    77
30    20
31    60
32    88
33     8
34    22
35    38
36    21
37    56
38    91
39     1
40    16
Name: Number, dtype: object",Chv,6,33,2,10,-4,14.4802,45.918,47.351,51.7725,196.002,189.9915,194.2185
6,Chase Elliott,"0     24
1     45
2     84
3     19
4     42
5     48
6     12
7      2
8     40
9     17
10    71
11    43
12    99
13    10
14     9
15    54
16    35
17    47
18     7
19     5
20    41
21    01
22     3
23    11
24    51
25     6
26    34
27     4
28    23
29    77
30    20
31    60
32    88
33     8
34    22
35    38
36    21
37    56
38    91
39     1
40    16
Name: Number, dtype: object",Frd,17,30,1,4,13,10.0246,45.962,47.3375,51.4519,195.814,190.072,194.4735
7,Ryan Blaney,"0     24
1     45
2     84
3     19
4     42
5     48
6     12
7      2
8     40
9     17
10    71
11    43
12    99
13    10
14     9
15    54
16    35
17    47
18     7
19     5
20    41
21    01
22     3
23    11
24    51
25     6
26    34
27     4
28    23
29    77
30    20
31    60
32    88
33     8
34    22
35    38
36    21
37    56
38    91
39     1
40    16
Name: Number, dtype: object",Frd,16,32,1,1,15,9.1133,46.126,47.369,51.0642,195.118,189.711,194.1325
8,Tyler Reddick,"0     24
1     45
2     84
3     19
4     42
5     48
6     12
7      2
8     40
9     17
10    71
11    43
12    99
13    10
14     9
15    54
16    35
17    47
18     7
19     5
20    41
21    01
22     3
23    11
24    51
25     6
26    34
27     4
28    23
29    77
30    20
31    60
32    88
33     8
34    22
35    38
36    21
37    56
38    91
39     1
40    16
Name: Number, dtype: object",Chv,11,32,2,2,9,13.8515,46.042,47.4265,50.9676,195.474,189.729,194.118
9,Kyle Busch,"0     24
1     45
2     84
3     19
4     42
5     48
6     12
7      2
8     40
9     17
10    71
11    43
12    99
13    10
14     9
15    54
16    35
17    47
18     7
19     5
20    41
21    01
22     3
23    11
24    51
25     6
26    34
27     4
28    23
29    77
30    20
31    60
32    88
33     8
34    22
35    38
36    21
37    56
38    91
39     1
40    16
Name: Number, dtype: object",Frd,21,35,2,33,-12,13.4439,46.046,47.3765,48.8387,195.457,189.921,193.8916
10,Justin Allgaier,"0     24
1     45
2     84
3     19
4     42
5     48
6     12
7      2
8     40
9     17
10    71
11    43
12    99
13    10
14     9
15    54
16    35
17    47
18     7
19     5
20    41
21    01
22     3
23    11
24    51
25     6
26    34
27     4
28    23
29    77
30    20
31    60
32    88
33     8
34    22
35    38
36    21
37    56
38    91
39     1
40    16
Name: Number, dtype: object",Chv,19,34,3,3,16,22.202,46.145,47.32,50.052,195.037,190.166,194.0035
