,Driver_Name,Start_Pos,Lowest_Pos,Highest_Pos,Ending_Pos,Pos_Change,Slowest_Lap,Fastest_Lap,Ave_Lap,Highest_Speed,Lowest_Speed,Ave_Speed
0,AJ Allmendinger,13,39,6,39,-26,145.908,47.055,68.9818,191.266,70.246,167.3723
1,Chad Finchum,18,18,10,18,0,72.309,19.076,22.9803,117.949,81.747,114.0937
2,Justin Haley,35,41,3,19,16,148.905,46.073,64.5106,195.342,70.2,170.8686
3,Ryan Preece,27,41,1,12,15,147.575,45.528,64.3666,197.681,70.044,173.0756
4,Ricky Stenhouse Jr,31,41,3,17,14,147.692,46.122,64.4045,195.135,70.237,171.7736
5,Ross Chastain,9,35,3,24,-15,148.707,46.135,68.2187,195.08,70.219,167.5986
6,Erik Jone,4,32,4,13,-9,149.791,46.053,64.8807,195.427,70.391,174.0976
7,Corey LaJoie,12,34,1,22,-10,147.561,45.842,65.6314,196.327,70.166,172.3488
8,William Byron,5,30,1,1,4,145.676,45.904,65.3092,196.061,70.193,172.9882
9,Brad Keselowsk,34,41,2,26,8,146.459,45.249,65.3287,198.899,70.024,171.0292
10,Ty Dillon,7,38,1,14,-7,147.881,46.443,65.9845,193.786,70.158,167.2435
11,Chris Buescher,6,33,2,10,-4,149.258,45.918,65.4361,196.002,70.19,170.4103
12,Chase Elliott,17,30,1,4,13,149.097,45.962,66.0484,195.814,70.043,169.8161
13,Ryan Blaney,16,32,1,1,15,149.689,46.126,64.4893,195.118,70.108,171.9126
14,Tyler Reddick,11,32,2,2,9,146.609,46.042,65.3976,195.474,70.314,170.9772
15,Joey Logano,10,35,1,7,3,138.811,46.061,61.1528,195.393,70.005,174.1667
16,Christopher Bell,20,40,2,2,18,146.194,46.186,64.0006,194.864,70.194,173.7103
17,Carson Hocevar,33,41,1,23,10,146.432,45.334,64.6287,198.526,71.832,171.5836
18,Kyle Busch,21,35,2,33,-12,141.901,46.046,63.0187,195.457,70.181,172.254
19,Justin Allgaier,19,34,3,3,16,147.963,46.145,65.2064,195.037,70.009,169.0131
20,Bubba Wallace,3,29,1,14,-11,139.762,46.167,65.2673,194.944,70.235,172.1211
21,Denny Hamlin,8,38,1,24,-16,148.35,45.976,65.2054,195.754,70.048,171.8653
22,Chase Briscoe,1,35,1,4,-3,143.883,45.683,65.1766,197.01,70.155,169.4389
23,Jimmie Johnson,40,40,3,3,37,148.071,46.095,64.4966,195.249,70.269,170.8405
24,Cole Custer,30,36,3,21,9,148.585,45.927,64.5483,195.963,70.033,169.8214
25,Austin Cindri,2,30,1,2,0,137.58,46.024,65.9283,195.55,70.147,173.4569
26,Riley Herbst,24,39,3,16,8,146.785,45.96,64.3037,195.822,70.019,173.6515
27,Josh Berry,29,39,15,36,-7,141.009,46.138,65.4921,195.067,70.363,161.365
28,Ty Gibb,23,32,5,16,7,147.604,45.978,64.9013,195.746,70.828,171.047
29,Daniel Suarez,36,41,3,12,24,145.221,45.908,64.6109,196.044,70.203,170.0734
30,Austin Dillon,15,33,2,23,-8,149.415,45.525,66.0824,197.694,70.421,169.9786
31,Cody Ware,28,40,8,11,17,145.818,45.964,64.656,195.805,70.145,170.5686
32,Noah Gragson,32,40,1,28,4,146.987,45.253,64.3001,198.882,70.581,171.5172
33,Kyle Larson,22,33,4,20,2,147.272,46.044,64.8657,195.465,70.081,171.5638
34,Michael McDowell,25,41,1,11,14,145.723,45.169,64.9173,199.252,70.412,170.6418
35,Martin Truex Jr,39,39,19,32,7,141.604,45.826,67.1629,196.395,71.139,166.7732
36,Shane Van Gisbergen,26,36,3,33,-7,149.609,46.182,66.7155,194.881,70.03,160.1832
37,Alex Bowman,38,41,1,6,32,140.711,46.158,64.8438,194.982,70.019,171.9663
38,Todd Gilliland,14,37,3,27,-13,147.563,45.995,63.3897,195.673,70.195,173.3121
39,Zane Smith,37,40,2,36,1,132.656,46.145,60.778,195.037,70.477,171.5429
40,John Hunter Nemechek,18,38,3,5,13,145.263,46.061,64.8021,195.393,70.144,172.9513
41,Helio Castroneve,41,41,14,21,20,140.419,46.212,66.7266,194.755,70.882,167.9533
